"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "Markdown", "JSON with Comments", "CSS", "XML", "comment", "blank", "total"
"/Users/emilioortiz/GitHub/class-tech-loan/README.md", "Markdown", 0, 0, 0, 118, 0, 0, 0, 0, 21, 139
"/Users/emilioortiz/GitHub/class-tech-loan/app.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 27, 14, 91
"/Users/emilioortiz/GitHub/class-tech-loan/class-tech-loan.code-workspace", "JSON with Comments", 0, 0, 0, 0, 39, 0, 0, 4, 1, 44
"/Users/emilioortiz/GitHub/class-tech-loan/config/config.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 28, 9, 60
"/Users/emilioortiz/GitHub/class-tech-loan/config/database.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 9, 6, 33
"/Users/emilioortiz/GitHub/class-tech-loan/config/expressMiddleware.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 12, 8, 49
"/Users/emilioortiz/GitHub/class-tech-loan/config/passport.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 9, 7, 55
"/Users/emilioortiz/GitHub/class-tech-loan/controllers/cartController.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 16, 17, 146
"/Users/emilioortiz/GitHub/class-tech-loan/controllers/googleController.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 12, 6, 37
"/Users/emilioortiz/GitHub/class-tech-loan/controllers/itemController.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 23, 13, 135
"/Users/emilioortiz/GitHub/class-tech-loan/controllers/loanController.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 20, 7, 105
"/Users/emilioortiz/GitHub/class-tech-loan/controllers/userController.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 23, 17, 175
"/Users/emilioortiz/GitHub/class-tech-loan/middleware/auth.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 47, 13, 93
"/Users/emilioortiz/GitHub/class-tech-loan/middleware/errorHandler.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 23, 4, 34
"/Users/emilioortiz/GitHub/class-tech-loan/middleware/shuffle.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/emilioortiz/GitHub/class-tech-loan/middleware/validateObjectId.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 4, 3, 20
"/Users/emilioortiz/GitHub/class-tech-loan/models/Item.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 1, 4, 56
"/Users/emilioortiz/GitHub/class-tech-loan/models/Loan.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 2, 5, 39
"/Users/emilioortiz/GitHub/class-tech-loan/models/User.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 1, 4, 30
"/Users/emilioortiz/GitHub/class-tech-loan/package-lock.json", "JSON", 0, 0, 10736, 0, 0, 0, 0, 0, 1, 10737
"/Users/emilioortiz/GitHub/class-tech-loan/package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/404.css", "CSS", 0, 0, 0, 0, 0, 32, 0, 31, 7, 70
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/adminPage.css", "CSS", 0, 0, 0, 0, 0, 141, 0, 14, 29, 184
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/button.css", "CSS", 0, 0, 0, 0, 0, 83, 0, 9, 17, 109
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/cart.css", "CSS", 0, 0, 0, 0, 0, 86, 0, 67, 18, 171
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/checkout.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 37, 8, 78
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/dashboard.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 0, 8, 38
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/home.css", "CSS", 0, 0, 0, 0, 0, 110, 0, 65, 16, 191
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/instructions.css", "CSS", 0, 0, 0, 0, 0, 39, 0, 1, 6, 46
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/itemCard.css", "CSS", 0, 0, 0, 0, 0, 35, 0, 0, 6, 41
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/itemDetails.css", "CSS", 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/itemDetailsPage.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/itemGrid.css", "CSS", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"/Users/emilioortiz/GitHub/class-tech-loan/public/css/navbar.css", "CSS", 0, 0, 0, 0, 0, 131, 0, 16, 24, 171
